iter	Passed	Remaining
1339	71061	25720
1340	71133	25673
1341	71214	25630
1342	71293	25587
1343	71362	25539
1344	71433	25492
1345	71515	25450
1346	71590	25404
1347	71661	25358
1348	71748	25316
1349	71817	25269
1350	71883	25220
1351	71966	25177
1352	72034	25129
1353	72103	25081
1354	72173	25034
1355	72250	24989
1356	72320	24941
1357	72393	24895
1358	72463	24847
1359	72548	24805
1360	72623	24759
1361	72688	24709
1362	72762	24663
1363	72828	24614
1364	72902	24567
1365	72975	24520
1366	73047	24473
1367	73126	24429
1368	73217	24387
1369	73289	24340
1370	73355	24291
1371	73426	24243
1372	73500	24196
1373	73575	24150
1374	73647	24102
1375	73722	24056
1376	73794	24008
1377	73869	23962
1378	73963	23921
1379	74043	23876
1380	74119	23829
1381	74189	23781
1382	74265	23734
1383	74339	23687
1384	74412	23640
1385	74497	23596
1386	74572	23549
1387	74651	23503
1388	74722	23455
1389	74808	23411
1390	74878	23362
1391	74953	23315
1392	75028	23267
1393	75098	23219
1394	75166	23169
1395	75230	23118
1396	75297	23068
1397	75370	23020
1398	75451	22975
1399	75523	22926
1400	75593	22877
1401	75666	22829
1402	75727	22777
1403	75802	22730
1404	75879	22682
1405	75954	22635
1406	76030	22587
1407	76101	22538
1408	76175	22490
1409	76243	22440
1410	76317	22392
1411	76394	22344
1412	76471	22297
1413	76541	22248
1414	76613	22198
1415	76681	22148
1416	76746	22097
1417	76815	22047
1418	76894	22000
1419	76973	21953
1420	77052	21906
1421	77123	21857
1422	77195	21807
1423	77261	21757
1424	77343	21710
1425	77409	21659
1426	77463	21605
1427	77522	21552
1428	77584	21500
1429	77652	21449
1430	77706	21395
1431	77762	21341
1432	77844	21294
1433	77898	21240
1434	77955	21186
1435	78006	21131
1436	78069	21079
1437	78126	21025
1438	78194	20975
1439	78260	20923
1440	78331	20874
1441	78401	20823
1442	78465	20771
1443	78527	20719
1444	78587	20666
1445	78651	20614
1446	78716	20563
1447	78771	20508
1448	78836	20457
1449	78916	20409
1450	78984	20358
1451	79045	20305
1452	79115	20255
1453	79185	20204
1454	79248	20152
1455	79324	20103
1456	79398	20054
1457	79483	20007
1458	79565	19959
1459	79640	19910
1460	79704	19858
1461	79769	19806
1462	79840	19755
1463	79904	19703
1464	79965	19650
1465	80053	19603
1466	80117	19551
1467	80176	19498
1468	80242	19446
1469	80302	19392
1470	80368	19340
1471	80431	19288
1472	80499	19236
1473	80563	19184
1474	80645	19136
1475	80709	19083
1476	80766	19029
1477	80833	18977
1478	80885	18922
1479	80945	18868
1480	81003	18815
1481	81061	18761
1482	81128	18709
1483	81191	18656
1484	81251	18603
1485	81311	18549
1486	81373	18496
1487	81437	18443
1488	81491	18388
1489	81549	18334
1490	81606	18280
1491	81660	18225
1492	81714	18170
1493	81774	18117
1494	81833	18063
1495	81898	18011
1496	81956	17957
1497	82001	17900
1498	82062	17846
1499	82122	17793
1500	82182	17739
1501	82242	17685
1502	82298	17631
1503	82354	17576
1504	82411	17522
1505	82470	17468
1506	82529	17415
1507	82587	17360
1508	82649	17307
1509	82709	17254
